105年07月12日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
03069P,康和DM,0,0,0,--,--,--,--,,0.00,--,0,0.02,60,0.00
03069X,元展64,0,0,0,--,--,--,--,,0.00,19.80,10,20.10,10,66.60
03070P,康和DN,0,0,0,--,--,--,--,,0.00,0.01,10,0.09,10,0.00
03070X,元展65,0,0,0,--,--,--,--,,0.00,7.70,10,7.75,10,37.40
03071P,康和DP,0,0,0,--,--,--,--,,0.00,0.02,10,0.10,10,0.00
03071X,元展66,"9,000",3,"128,400",14.40,14.40,14.20,14.20,＋,0.10,14.10,12,14.30,10,248.00
03072P,元大DL,0,0,0,--,--,--,--,,0.00,0.33,100,0.34,100,0.00
03072X,元展67,"50,000",1,"675,000",13.50,13.50,13.50,13.50,＋,0.30,13.60,10,13.70,10,101.50
03073P,元大DU,0,0,0,--,--,--,--,,0.00,0.35,100,0.36,100,0.00
03073X,元展68,"100,000",7,"3,107,000",30.60,32.70,30.60,32.70,＋,3.00,32.50,10,32.60,10,"3,180.00"
03074P,元大DX,0,0,0,--,--,--,--,,0.00,0.36,100,0.37,100,0.00
03074X,元展69,0,0,0,--,--,--,--,,0.00,5.75,10,5.80,10,12.55
03075P,元大DY,"74,000",4,"6,740",0.09,0.11,0.09,0.09,－,0.06,0.08,100,0.09,100,0.00
03075X,元展70,0,0,0,--,--,--,--,,0.00,3.26,10,3.28,10,6.40
03076P,元大DZ,0,0,0,--,--,--,--,,0.00,0.01,100,0.02,100,0.00
